episode,score,type,average,average100
0,0,train,0,0
1,0,train,0,0
2,0,train,0,0
3,0,train,0,0
4,0,train,0,0
5,1.0,train,0.16666666666666666,0.16666666666666666
6,0,train,0.14285714285714285,0.14285714285714285
7,0,train,0.125,0.125
8,0,train,0.1111111111111111,0.1111111111111111
9,0,train,0.1,0.1
10,0,train,0.09090909090909091,0.09090909090909091
11,0,train,0.08333333333333333,0.08333333333333333
12,0,train,0.07692307692307693,0.07692307692307693
13,0,train,0.07142857142857142,0.07142857142857142
14,0,train,0.06666666666666667,0.06666666666666667
15,0,train,0.0625,0.0625
16,1.0,train,0.11764705882352941,0.11764705882352941
17,0,train,0.1111111111111111,0.1111111111111111
18,0,train,0.10526315789473684,0.10526315789473684
19,0,train,0.1,0.1
20,0,train,0.09523809523809523,0.09523809523809523
21,0,train,0.09090909090909091,0.09090909090909091
22,0,train,0.08695652173913043,0.08695652173913043
23,0,train,0.08333333333333333,0.08333333333333333
24,0,train,0.08,0.08
25,0,train,0.07692307692307693,0.07692307692307693
26,0,train,0.07407407407407407,0.07407407407407407
27,0,train,0.07142857142857142,0.07142857142857142
28,0,train,0.06896551724137931,0.06896551724137931
29,0,train,0.06666666666666667,0.06666666666666667
30,0,train,0.06451612903225806,0.06451612903225806
31,0,train,0.0625,0.0625
32,1.0,train,0.09090909090909091,0.09090909090909091
33,0,train,0.08823529411764706,0.08823529411764706
34,0,train,0.08571428571428572,0.08571428571428572
35,0,train,0.08333333333333333,0.08333333333333333
36,0,train,0.08108108108108109,0.08108108108108109
37,0,train,0.07894736842105263,0.07894736842105263
38,0,train,0.07692307692307693,0.07692307692307693
39,0,train,0.075,0.075
40,0,train,0.07317073170731707,0.07317073170731707
41,0,train,0.07142857142857142,0.07142857142857142
42,0,train,0.06976744186046512,0.06976744186046512
43,0,train,0.06818181818181818,0.06818181818181818
44,0,train,0.06666666666666667,0.06666666666666667
45,0,train,0.06521739130434782,0.06521739130434782
46,0,train,0.06382978723404255,0.06382978723404255
47,0,train,0.0625,0.0625
48,0,train,0.061224489795918366,0.061224489795918366
49,1.0,train,0.08,0.08
50,0,train,0.0784313725490196,0.0784313725490196
51,0,train,0.07692307692307693,0.07692307692307693
52,0,train,0.07547169811320754,0.07547169811320754
53,0,train,0.07407407407407407,0.07407407407407407
54,0,train,0.07272727272727272,0.07272727272727272
55,0,train,0.07142857142857142,0.07142857142857142
56,0,train,0.07017543859649122,0.07017543859649122
57,0,train,0.06896551724137931,0.06896551724137931
58,0,train,0.06779661016949153,0.06779661016949153
59,0,train,0.06666666666666667,0.06666666666666667
60,0,train,0.06557377049180328,0.06557377049180328
61,1.0,train,0.08064516129032258,0.08064516129032258
62,0,train,0.07936507936507936,0.07936507936507936
63,0,train,0.078125,0.078125
64,0,train,0.07692307692307693,0.07692307692307693
65,0,train,0.07575757575757576,0.07575757575757576
66,0,train,0.07462686567164178,0.07462686567164178
67,0,train,0.07352941176470588,0.07352941176470588
68,0,train,0.07246376811594203,0.07246376811594203
69,0,train,0.07142857142857142,0.07142857142857142
70,0,train,0.07042253521126761,0.07042253521126761
71,0,train,0.06944444444444445,0.06944444444444445
72,0,train,0.0684931506849315,0.0684931506849315
73,0,train,0.06756756756756757,0.06756756756756757
74,0,train,0.06666666666666667,0.06666666666666667
75,0,train,0.06578947368421052,0.06578947368421052
76,0,train,0.06493506493506493,0.06493506493506493
77,0,train,0.0641025641025641,0.0641025641025641
78,0,train,0.06329113924050633,0.06329113924050633
79,0,train,0.0625,0.0625
80,0,train,0.06172839506172839,0.06172839506172839
81,0,train,0.06097560975609756,0.06097560975609756
82,0,train,0.060240963855421686,0.060240963855421686
83,0,train,0.05952380952380952,0.05952380952380952
84,1.0,train,0.07058823529411765,0.07058823529411765
85,0,train,0.06976744186046512,0.06976744186046512
86,0,train,0.06896551724137931,0.06896551724137931
87,0,train,0.06818181818181818,0.06818181818181818
88,0,train,0.06741573033707865,0.06741573033707865
89,0,train,0.06666666666666667,0.06666666666666667
90,0,train,0.06593406593406594,0.06593406593406594
91,0,train,0.06521739130434782,0.06521739130434782
92,1.0,train,0.07526881720430108,0.07526881720430108
93,0,train,0.07446808510638298,0.07446808510638298
94,0,train,0.07368421052631578,0.07368421052631578
95,0,train,0.07291666666666667,0.07291666666666667
96,0,train,0.07216494845360824,0.07216494845360824
97,0,train,0.07142857142857142,0.07142857142857142
98,0,train,0.0707070707070707,0.0707070707070707
99,0,train,0.07,0.0707070707070707
100,1.0,train,0.07920792079207921,0.08080808080808081
101,0,train,0.0784313725490196,0.08080808080808081
102,0,train,0.07766990291262135,0.08080808080808081
103,0,train,0.07692307692307693,0.08080808080808081
104,1.0,train,0.08571428571428572,0.08080808080808081
105,0,train,0.08490566037735849,0.08080808080808081
106,0,train,0.08411214953271028,0.08080808080808081
107,0,train,0.08333333333333333,0.08080808080808081
108,0,train,0.08256880733944955,0.08080808080808081
109,0,train,0.08181818181818182,0.08080808080808081
110,0,train,0.08108108108108109,0.08080808080808081
111,0,train,0.08035714285714286,0.08080808080808081
112,0,train,0.07964601769911504,0.08080808080808081
113,0,train,0.07894736842105263,0.08080808080808081
114,0,train,0.0782608695652174,0.08080808080808081
115,0,train,0.07758620689655173,0.0707070707070707
116,0,train,0.07692307692307693,0.0707070707070707
117,0,train,0.07627118644067797,0.0707070707070707
118,0,train,0.07563025210084033,0.0707070707070707
119,0,train,0.075,0.0707070707070707
120,0,train,0.0743801652892562,0.0707070707070707
