episode,score,type,average,average100
0,0,train,0,0
1,0,train,0,0
2,0,train,0,0
3,0,train,0,0
4,0,train,0,0
5,0,train,0,0
6,0,train,0,0
7,0,train,0,0
8,0,train,0,0
9,0,train,0,0
10,0,train,0,0
11,0,train,0,0
12,0,train,0,0
13,0,train,0,0
14,0,train,0,0
15,0,train,0,0
16,0,train,0,0
17,0,train,0,0
18,0,train,0,0
19,0,train,0,0
20,0,train,0,0
21,0,train,0,0
22,0,train,0,0
23,0,train,0,0
24,0,train,0,0
25,0,train,0,0
26,0,train,0,0
27,0,train,0,0
28,0,train,0,0
29,0,train,0,0
30,0,train,0,0
31,0,train,0,0
32,0,train,0,0
33,0,train,0,0
34,0,train,0,0
35,0,train,0,0
36,0,train,0,0
37,0,train,0,0
38,0,train,0,0
39,0,train,0,0
40,0,train,0,0
41,0,train,0,0
42,0,train,0,0
43,0,train,0,0
44,0,train,0,0
45,0,train,0,0
46,0,train,0,0
47,0,train,0,0
48,0,train,0,0
49,0,train,0,0
50,0,train,0,0
51,0,train,0,0
52,0,train,0,0
53,0,train,0,0
54,0,train,0,0
55,0,train,0,0
56,1.0,train,0.017543859649122806,0.017543859649122806
57,0,train,0.017241379310344827,0.017241379310344827
58,0,train,0.01694915254237288,0.01694915254237288
59,0,train,0.016666666666666666,0.016666666666666666
60,0,train,0.01639344262295082,0.01639344262295082
61,0,train,0.016129032258064516,0.016129032258064516
62,0,train,0.015873015873015872,0.015873015873015872
63,0,train,0.015625,0.015625
64,0,train,0.015384615384615385,0.015384615384615385
65,0,train,0.015151515151515152,0.015151515151515152
66,0,train,0.014925373134328358,0.014925373134328358
67,0,train,0.014705882352941176,0.014705882352941176
68,0,train,0.014492753623188406,0.014492753623188406
69,0,train,0.014285714285714285,0.014285714285714285
70,0,train,0.014084507042253521,0.014084507042253521
71,0,train,0.013888888888888888,0.013888888888888888
72,1.0,train,0.0273972602739726,0.0273972602739726
73,0,train,0.02702702702702703,0.02702702702702703
74,1.0,train,0.04,0.04
75,0,train,0.039473684210526314,0.039473684210526314
76,1.0,train,0.05194805194805195,0.05194805194805195
77,1.0,train,0.0641025641025641,0.0641025641025641
78,0,train,0.06329113924050633,0.06329113924050633
79,0,train,0.0625,0.0625
80,0,train,0.06172839506172839,0.06172839506172839
81,0,train,0.06097560975609756,0.06097560975609756
82,0,train,0.060240963855421686,0.060240963855421686
83,0,train,0.05952380952380952,0.05952380952380952
84,0,train,0.058823529411764705,0.058823529411764705
85,0,train,0.05813953488372093,0.05813953488372093
86,1.0,train,0.06896551724137931,0.06896551724137931
87,0,train,0.06818181818181818,0.06818181818181818
88,0,train,0.06741573033707865,0.06741573033707865
89,0,train,0.06666666666666667,0.06666666666666667
90,2.0,train,0.08791208791208792,0.08791208791208792
91,1.0,train,0.09782608695652174,0.09782608695652174
92,1.0,train,0.10752688172043011,0.10752688172043011
93,2.0,train,0.1276595744680851,0.1276595744680851
94,0,train,0.12631578947368421,0.12631578947368421
95,0,train,0.125,0.125
96,0,train,0.12371134020618557,0.12371134020618557
97,2.0,train,0.14285714285714285,0.14285714285714285
98,2.0,train,0.16161616161616163,0.16161616161616163
99,0,test,0.16,0.16161616161616163
100,0,test,0.15841584158415842,0.16161616161616163
101,0,test,0.1568627450980392,0.16161616161616163
102,4.0,test,0.1941747572815534,0.20202020202020202
103,3.0,test,0.22115384615384615,0.23232323232323232
104,1.0,test,0.22857142857142856,0.24242424242424243
105,1.0,test,0.2358490566037736,0.25252525252525254
106,2.0,test,0.2523364485981308,0.2727272727272727
107,2.0,test,0.26851851851851855,0.29292929292929293
108,1.0,test,0.27522935779816515,0.30303030303030304
109,3.0,test,0.3,0.3333333333333333
110,3.0,test,0.32432432432432434,0.36363636363636365
111,0,test,0.32142857142857145,0.36363636363636365
112,2.0,test,0.336283185840708,0.3838383838383838
113,3.0,test,0.35964912280701755,0.41414141414141414
114,5.0,test,0.4,0.46464646464646464
115,1.0,test,0.4051724137931034,0.47474747474747475
116,0,test,0.4017094017094017,0.47474747474747475
117,0,test,0.3983050847457627,0.47474747474747475
118,0,test,0.3949579831932773,0.47474747474747475
119,1.0,test,0.4,0.48484848484848486
120,0,test,0.39669421487603307,0.48484848484848486
121,1.0,test,0.4016393442622951,0.494949494949495
122,0,test,0.3983739837398374,0.494949494949495
123,2.0,test,0.4112903225806452,0.5151515151515151
124,1.0,test,0.416,0.5252525252525253
125,1.0,test,0.42063492063492064,0.5353535353535354
126,0,test,0.41732283464566927,0.5353535353535354
127,0,test,0.4140625,0.5353535353535354
128,2.0,test,0.4263565891472868,0.5555555555555556
129,1.0,test,0.4307692307692308,0.5656565656565656
130,1.0,test,0.4351145038167939,0.5757575757575758
131,1.0,test,0.4393939393939394,0.5858585858585859
132,4.0,test,0.46616541353383456,0.6262626262626263
133,3.0,test,0.48507462686567165,0.6565656565656566
134,5.0,test,0.5185185185185185,0.7070707070707071
135,1.0,test,0.5220588235294118,0.7171717171717171
136,2.0,test,0.5328467153284672,0.7373737373737373
137,2.0,test,0.5434782608695652,0.7575757575757576
138,1.0,test,0.5467625899280576,0.7676767676767676
139,2.0,test,0.5571428571428572,0.7878787878787878
140,6.0,test,0.5957446808510638,0.8484848484848485
141,3.0,test,0.6126760563380281,0.8787878787878788
142,1.0,test,0.6153846153846154,0.8888888888888888
143,1.0,test,0.6180555555555556,0.898989898989899
144,1.0,test,0.6206896551724138,0.9090909090909091
145,2.0,test,0.6301369863013698,0.9292929292929293
