episode,score,type,average,average100
3622,58.0,test,58.0,58.0
3623,28.0,test,43.0,43.0
3624,59.0,test,48.333333333333336,48.333333333333336
3625,4.0,test,37.25,37.25
3626,25.0,test,34.8,34.8
3627,46.0,test,36.666666666666664,36.666666666666664
3628,32.0,test,36.0,36.0
3629,11.0,test,32.875,32.875
3630,17.0,test,31.11111111111111,31.11111111111111
3631,36.0,test,31.6,31.6
3632,20.0,test,30.545454545454547,30.545454545454547
3633,16.0,test,29.333333333333332,29.333333333333332
3634,5.0,test,27.46153846153846,27.46153846153846
3635,46.0,test,28.785714285714285,28.785714285714285
3636,11.0,test,27.6,27.6
3637,4.0,test,26.125,26.125
3638,14.0,test,25.41176470588235,25.41176470588235
3639,19.0,test,25.055555555555557,25.055555555555557
3640,16.0,test,24.57894736842105,24.57894736842105
3641,140.0,test,30.35,30.35
3642,8.0,test,29.285714285714285,29.285714285714285
3643,94.0,test,32.22727272727273,32.22727272727273
3644,11.0,test,31.304347826086957,31.304347826086957
3645,13.0,test,30.541666666666668,30.541666666666668
3646,23.0,test,30.24,30.24
3647,20.0,test,29.846153846153847,29.846153846153847
3648,22.0,test,29.555555555555557,29.555555555555557
3649,20.0,test,29.214285714285715,29.214285714285715
3650,104.0,test,31.79310344827586,31.79310344827586
3651,5.0,test,30.9,30.9
3652,59.0,test,31.806451612903224,31.806451612903224
3653,2.0,test,30.875,30.875
3654,10.0,test,30.242424242424242,30.242424242424242
3655,11.0,test,29.676470588235293,29.676470588235293
3656,86.0,test,31.285714285714285,31.285714285714285
3657,11.0,test,30.72222222222222,30.72222222222222
3658,9.0,test,30.135135135135137,30.135135135135137
3659,8.0,test,29.55263157894737,29.55263157894737
3660,4.0,test,28.897435897435898,28.897435897435898
3661,61.0,test,29.7,29.7
3662,18.0,test,29.414634146341463,29.414634146341463
3663,3.0,test,28.785714285714285,28.785714285714285
3664,50.0,test,29.27906976744186,29.27906976744186
3665,31.0,test,29.318181818181817,29.318181818181817
3666,95.0,test,30.77777777777778,30.77777777777778
3667,34.0,test,30.847826086956523,30.847826086956523
3668,5.0,test,30.29787234042553,30.29787234042553
3669,35.0,test,30.395833333333332,30.395833333333332
3670,83.0,test,31.46938775510204,31.46938775510204
3671,97.0,test,32.78,32.78
3672,39.0,test,32.90196078431372,32.90196078431372
3673,8.0,test,32.42307692307692,32.42307692307692
3674,2.0,test,31.849056603773583,31.849056603773583
3675,4.0,test,31.333333333333332,31.333333333333332
3676,16.0,test,31.054545454545455,31.054545454545455
3677,37.0,test,31.160714285714285,31.160714285714285
3678,74.0,test,31.912280701754387,31.912280701754387
3679,4.0,test,31.43103448275862,31.43103448275862
3680,8.0,test,31.033898305084747,31.033898305084747
3681,8.0,test,30.65,30.65
3682,89.0,test,31.60655737704918,31.60655737704918
3683,2.0,test,31.129032258064516,31.129032258064516
3684,89.0,test,32.04761904761905,32.04761904761905
3685,32.0,test,32.046875,32.046875
3686,97.0,test,33.04615384615385,33.04615384615385
3687,13.0,test,32.74242424242424,32.74242424242424
3688,43.0,test,32.8955223880597,32.8955223880597
3689,8.0,test,32.529411764705884,32.529411764705884
3690,52.0,test,32.81159420289855,32.81159420289855
3691,11.0,test,32.5,32.5
3692,13.0,test,32.225352112676056,32.225352112676056
3693,40.0,test,32.333333333333336,32.333333333333336
3694,14.0,test,32.082191780821915,32.082191780821915
3695,149.0,test,33.66216216216216,33.66216216216216
3696,16.0,test,33.42666666666667,33.42666666666667
3697,70.0,test,33.9078947368421,33.9078947368421
3698,79.0,test,34.493506493506494,34.493506493506494
3699,25.0,test,34.37179487179487,34.37179487179487
3700,100.0,test,35.20253164556962,35.20253164556962
3701,7.0,test,34.85,34.85
3702,110.0,test,35.77777777777778,35.77777777777778
3703,38.0,test,35.80487804878049,35.80487804878049
3704,32.0,test,35.75903614457831,35.75903614457831
3705,20.0,test,35.57142857142857,35.57142857142857
3706,146.0,test,36.870588235294115,36.870588235294115
3707,5.0,test,36.5,36.5
3708,17.0,test,36.275862068965516,36.275862068965516
3709,28.0,test,36.18181818181818,36.18181818181818
3710,11.0,test,35.89887640449438,35.89887640449438
3711,2.0,test,35.522222222222226,35.522222222222226
3712,1.0,test,35.142857142857146,35.142857142857146
3713,4.0,test,34.80434782608695,34.80434782608695
3714,108.0,test,35.59139784946237,35.59139784946237
3715,50.0,test,35.744680851063826,35.744680851063826
3716,3.0,test,35.4,35.4
3717,8.0,test,35.114583333333336,35.114583333333336
3718,38.0,test,35.144329896907216,35.144329896907216
3719,14.0,test,34.92857142857143,34.92857142857143
3720,2.0,test,34.5959595959596,34.5959595959596
3721,17.0,test,34.42,34.18181818181818
3722,85.0,test,34.92079207920792,34.75757575757576
3723,67.0,test,35.23529411764706,34.83838383838384
3724,34.0,test,35.22330097087379,35.14141414141414
3725,55.0,test,35.41346153846154,35.44444444444444
3726,1.0,test,35.08571428571429,34.98989898989899
3727,22.0,test,34.9622641509434,34.888888888888886
3728,8.0,test,34.71028037383178,34.85858585858586
3729,2.0,test,34.407407407407405,34.707070707070706
3730,1.0,test,34.10091743119266,34.35353535353536
3731,32.0,test,34.08181818181818,34.474747474747474
3732,13.0,test,33.891891891891895,34.44444444444444
3733,65.0,test,34.169642857142854,35.05050505050505
3734,100.0,test,34.75221238938053,35.5959595959596
3735,29.0,test,34.70175438596491,35.77777777777778
3736,15.0,test,34.530434782608694,35.888888888888886
3737,2.0,test,34.25,35.76767676767677
3738,50.0,test,34.38461538461539,36.08080808080808
3739,7.0,test,34.152542372881356,35.98989898989899
3740,5.0,test,33.90756302521008,34.62626262626262
3741,22.0,test,33.80833333333333,34.76767676767677
3742,44.0,test,33.892561983471076,34.26262626262626
3743,40.0,test,33.942622950819676,34.55555555555556
3744,10.0,test,33.7479674796748,34.525252525252526
3745,2.0,test,33.49193548387097,34.313131313131315
3746,38.0,test,33.528,34.494949494949495
3747,82.0,test,33.91269841269841,35.101010101010104
3748,1.0,test,33.653543307086615,34.90909090909091
3749,62.0,test,33.875,34.484848484848484
3750,16.0,test,33.736434108527135,34.5959595959596
3751,97.0,test,34.223076923076924,34.97979797979798
3752,10.0,test,34.038167938931295,35.06060606060606
3753,59.0,test,34.22727272727273,35.55555555555556
3754,11.0,test,34.05263157894737,35.55555555555556
