episode,score,type,average,average100
0,0,train,0,0
1,0,train,0,0
2,0,train,0,0
3,0,train,0,0
4,0,train,0,0
5,0,train,0,0
6,0,train,0,0
7,0,train,0,0
8,0,train,0,0
9,0,train,0,0
10,0,train,0,0
11,0,train,0,0
12,0,train,0,0
13,0,train,0,0
14,0,train,0,0
15,0,train,0,0
16,0,train,0,0
17,0,train,0,0
18,0,train,0,0
19,0,train,0,0
20,0,train,0,0
21,0,train,0,0
22,0,train,0,0
23,0,train,0,0
24,0,train,0,0
25,0,train,0,0
26,0,train,0,0
27,0,train,0,0
28,0,train,0,0
29,0,train,0,0
30,0,train,0,0
31,0,train,0,0
32,0,train,0,0
33,0,train,0,0
34,0,train,0,0
35,0,train,0,0
36,0,train,0,0
37,0,train,0,0
38,0,train,0,0
39,0,train,0,0
40,0,train,0,0
41,0,train,0,0
42,0,train,0,0
43,0,train,0,0
44,0,train,0,0
45,0,train,0,0
46,0,train,0,0
47,0,train,0,0
48,0,train,0,0
49,0,train,0,0
50,0,train,0,0
51,0,train,0,0
52,0,train,0,0
53,0,train,0,0
54,0,train,0,0
55,0,train,0,0
56,0,train,0,0
57,0,train,0,0
58,0,train,0,0
59,0,train,0,0
60,0,train,0,0
61,0,train,0,0
62,0,train,0,0
63,0,train,0,0
64,0,train,0,0
65,0,train,0,0
66,0,train,0,0
67,0,train,0,0
68,0,train,0,0
69,0,train,0,0
70,0,train,0,0
71,0,train,0,0
72,0,train,0,0
73,0,train,0,0
74,0,train,0,0
75,0,train,0,0
76,0,train,0,0
77,0,train,0,0
78,0,train,0,0
79,0,train,0,0
80,0,train,0,0
81,0,train,0,0
82,0,train,0,0
83,0,train,0,0
84,0,train,0,0
85,0,train,0,0
86,0,train,0,0
87,0,train,0,0
88,0,train,0,0
89,0,train,0,0
90,0,train,0,0
91,0,train,0,0
92,0,train,0,0
93,0,train,0,0
94,0,train,0,0
95,0,train,0,0
96,0,train,0,0
97,0,train,0,0
98,0,train,0,0
99,0,test,0,0
100,0,test,0,0
101,0,test,0,0
102,0,test,0,0
103,0,test,0,0
104,0,test,0,0
105,0,test,0,0
106,0,test,0,0
107,0,test,0,0
108,0,test,0,0
109,0,test,0,0
110,0,test,0,0
111,0,test,0,0
112,0,test,0,0
113,0,test,0,0
114,0,test,0,0
115,0,test,0,0
116,0,test,0,0
117,0,test,0,0
118,0,test,0,0
119,0,test,0,0
120,0,test,0,0
121,0,test,0,0
122,0,test,0,0
123,0,test,0,0
124,0,test,0,0
125,0,test,0,0
126,0,test,0,0
127,0,test,0,0
128,0,test,0,0
129,0,test,0,0
130,0,test,0,0
131,0,test,0,0
132,0,test,0,0
133,0,test,0,0
134,0,test,0,0
135,0,test,0,0
136,0,test,0,0
137,0,test,0,0
138,0,test,0,0
139,0,test,0,0
140,0,test,0,0
141,0,test,0,0
142,0,test,0,0
143,0,test,0,0
144,0,test,0,0
145,0,test,0,0
146,0,test,0,0
147,0,test,0,0
148,0,test,0,0
149,0,test,0,0
150,0,test,0,0
151,0,test,0,0
152,0,test,0,0
153,0,test,0,0
154,0,test,0,0
155,0,test,0,0
156,0,test,0,0
157,0,test,0,0
158,0,test,0,0
159,0,test,0,0
160,0,test,0,0
161,0,test,0,0
162,0,test,0,0
163,0,test,0,0
164,0,test,0,0
165,1.0,test,0.006024096385542169,0.010101010101010102
166,0,test,0.005988023952095809,0.010101010101010102
167,0,test,0.005952380952380952,0.010101010101010102
168,0,test,0.005917159763313609,0.010101010101010102
169,0,test,0.0058823529411764705,0.010101010101010102
170,0,test,0.005847953216374269,0.010101010101010102
171,0,test,0.005813953488372093,0.010101010101010102
172,0,test,0.005780346820809248,0.010101010101010102
173,0,test,0.005747126436781609,0.010101010101010102
174,1.0,test,0.011428571428571429,0.020202020202020204
175,1.0,test,0.017045454545454544,0.030303030303030304
176,0,test,0.01694915254237288,0.030303030303030304
177,0,test,0.016853932584269662,0.030303030303030304
178,0,test,0.01675977653631285,0.030303030303030304
179,0,test,0.016666666666666666,0.030303030303030304
180,1.0,test,0.022099447513812154,0.04040404040404041
181,0,test,0.02197802197802198,0.04040404040404041
182,0,test,0.02185792349726776,0.04040404040404041
183,0,test,0.021739130434782608,0.04040404040404041
184,0,test,0.021621621621621623,0.04040404040404041
185,0,test,0.021505376344086023,0.04040404040404041
186,0,test,0.0213903743315508,0.04040404040404041
187,1.0,test,0.026595744680851064,0.050505050505050504
188,1.0,test,0.031746031746031744,0.06060606060606061
189,0,test,0.031578947368421054,0.06060606060606061
190,0,test,0.031413612565445025,0.06060606060606061
191,0,test,0.03125,0.06060606060606061
192,0,test,0.031088082901554404,0.06060606060606061
193,0,test,0.030927835051546393,0.06060606060606061
194,1.0,test,0.035897435897435895,0.0707070707070707
195,0,test,0.03571428571428571,0.0707070707070707
196,0,test,0.03553299492385787,0.0707070707070707
197,0,test,0.03535353535353535,0.0707070707070707
198,0,test,0.035175879396984924,0.0707070707070707
199,0,train,0.035,0.0707070707070707
200,0,train,0.03482587064676617,0.0707070707070707
201,0,train,0.034653465346534656,0.0707070707070707
202,0,train,0.034482758620689655,0.0707070707070707
203,0,train,0.03431372549019608,0.0707070707070707
204,0,train,0.03414634146341464,0.0707070707070707
205,0,train,0.03398058252427184,0.0707070707070707
206,0,train,0.033816425120772944,0.0707070707070707
207,0,train,0.03365384615384615,0.0707070707070707
208,0,train,0.03349282296650718,0.0707070707070707
209,0,train,0.03333333333333333,0.0707070707070707
