episode,score,type
0,0,train
1,0,train
2,0,train
3,0,train
4,0,train
5,0,train
6,0,train
7,0,train
8,0,train
9,0,train
10,0,train
11,0,train
12,0,train
13,0,train
14,0,train
15,0,train
16,0,train
17,0,train
18,0,train
19,0,train
20,0,train
21,0,train
22,0,train
23,0,train
24,0,train
25,0,train
26,0,train
27,0,train
28,0,train
29,0,train
30,0,train
31,0,train
32,0,train
33,0,train
34,0,train
35,1.0,train
36,0,train
37,0,train
38,1.0,train
39,1.0,train
40,0,train
41,0,train
42,0,train
43,0,train
44,1.0,train
45,0,train
46,0,train
47,0,train
48,1.0,train
49,0,train
50,1.0,train
51,2.0,train
52,1.0,train
53,0,train
54,0,train
55,0,train
56,1.0,train
57,1.0,train
58,1.0,train
59,1.0,train
60,1.0,train
61,0,train
62,2.0,train
63,1.0,train
64,1.0,train
65,0,train
66,0,train
67,2.0,train
68,0,train
69,0,train
70,0,train
71,1.0,train
72,1.0,train
73,0,train
74,1.0,train
75,0,train
76,0,train
77,0,train
78,1.0,train
79,1.0,train
80,1.0,train
81,0,train
82,1.0,train
83,0,train
84,3.0,train
85,1.0,train
86,0,train
87,1.0,train
88,0,train
89,1.0,train
90,0,train
91,1.0,train
92,1.0,train
93,1.0,train
94,0,train
95,0,train
96,1.0,train
97,0,train
98,1.0,train
99,2.0,train
100,1.0,train
101,1.0,train
102,0,train
103,0,train
104,0,train
105,1.0,train
106,0,train
107,1.0,train
108,0,train
109,0,train
110,1.0,train
111,0,train
112,1.0,train
113,0,train
114,1.0,train
115,2.0,train
116,2.0,train
117,0,train
118,1.0,train
119,1.0,train
120,0,train
121,0,train
122,1.0,train
123,0,train
124,1.0,train
125,1.0,train
126,0,train
127,0,train
128,0,train
129,0,train
130,0,train
131,0,train
132,0,train
133,1.0,train
134,0,train
135,2.0,train
136,0,train
137,1.0,train
138,0,train
139,1.0,train
140,0,train
141,1.0,train
142,0,train
143,0,train
144,3.0,train
145,1.0,train
146,0,train
147,0,train
148,0,train
149,1.0,train
150,2.0,train
151,1.0,train
152,0,train
153,1.0,train
154,1.0,train
155,0,train
156,4.0,train
157,1.0,train
158,3.0,train
159,1.0,train
160,1.0,train
161,0,train
162,1.0,train
163,0,train
164,0,train
165,1.0,train
166,0,train
167,1.0,train
168,0,train
169,0,train
170,0,train
171,1.0,train
172,0,train
173,1.0,train
174,2.0,train
175,0,train
176,2.0,train
177,0,train
178,1.0,train
179,0,train
180,0,train
181,2.0,train
182,0,train
183,1.0,train
184,1.0,train
185,0,train
186,1.0,train
187,1.0,train
188,0,train
189,0,train
190,1.0,train
191,1.0,train
192,1.0,train
193,1.0,train
194,0,train
195,2.0,train
196,1.0,train
197,0,train
198,0,train
199,1.0,test
200,1.0,test
201,2.0,test
202,1.0,test
203,2.0,test
204,0,test
205,1.0,test
206,1.0,test
207,2.0,test
208,4.0,test
209,1.0,test
210,2.0,test
211,2.0,test
212,0,test
213,3.0,test
214,0,test
215,0,test
216,0,test
217,3.0,test
218,4.0,test
219,0,test
220,1.0,test
221,0,test
222,1.0,test
223,1.0,test
224,0,test
225,1.0,test
226,0,test
227,1.0,test
228,4.0,test
229,3.0,test
230,2.0,test
231,1.0,test
232,1.0,test
233,0,test
234,4.0,test
235,1.0,test
236,1.0,test
237,0,test
238,1.0,test
239,2.0,test
240,3.0,test
241,1.0,test
242,2.0,test
243,1.0,test
244,4.0,test
245,1.0,test
246,2.0,test
247,1.0,test
248,1.0,test
249,4.0,test
250,1.0,test
251,0,test
252,1.0,test
253,3.0,test
254,2.0,test
255,1.0,test
256,3.0,test
257,0,test
258,1.0,test
259,2.0,test
260,1.0,test
261,2.0,test
262,3.0,test
263,2.0,test
264,1.0,test
265,1.0,test
266,1.0,test
267,2.0,test
268,2.0,test
269,1.0,test
270,1.0,test
271,0,test
272,1.0,test
273,1.0,test
274,1.0,test
275,2.0,test
276,0,test
277,3.0,test
278,0,test
279,2.0,test
280,1.0,test
281,3.0,test
282,3.0,test
283,1.0,test
284,1.0,test
285,2.0,test
286,1.0,test
287,0,test
288,3.0,test
289,2.0,test
290,2.0,test
291,2.0,test
292,3.0,test
293,3.0,test
294,1.0,test
295,0,test
296,2.0,test
297,2.0,test
298,1.0,test
299,2.0,test
300,1.0,test
301,6.0,test
302,1.0,test
303,1.0,test
304,0,test
305,2.0,test
306,1.0,test
307,2.0,test
308,1.0,test
309,1.0,test
310,1.0,test
311,1.0,test
312,2.0,test
313,1.0,test
314,1.0,test
315,3.0,test
316,1.0,test
317,2.0,test
318,0,test
319,1.0,test
320,2.0,test
321,1.0,test
322,2.0,test
323,2.0,test
324,1.0,test
325,5.0,test
326,1.0,test
327,0,test
328,1.0,test
329,3.0,test
330,2.0,test
331,1.0,test
332,5.0,test
333,1.0,test
334,2.0,test
335,2.0,test
336,3.0,test
337,1.0,test
338,1.0,test
339,2.0,test
340,3.0,test
341,1.0,test
342,1.0,test
343,3.0,test
344,4.0,test
345,1.0,test
346,0,test
347,1.0,test
348,5.0,test
349,1.0,test
350,1.0,test
351,4.0,test
352,0,test
353,1.0,test
354,1.0,test
355,4.0,test
356,1.0,test
357,1.0,test
358,0,test
359,1.0,test
360,4.0,test
361,1.0,test
362,1.0,test
363,1.0,test
364,4.0,test
365,2.0,test
366,2.0,test
367,3.0,test
368,0,test
369,0,test
370,1.0,test
371,0,test
372,0,test
373,2.0,test
374,2.0,test
375,1.0,test
376,0,test
377,3.0,test
378,1.0,test
379,1.0,test
380,2.0,test
381,2.0,test
382,1.0,test
383,0,test
384,4.0,test
385,1.0,test
386,2.0,test
387,4.0,test
388,1.0,test
389,0,test
390,2.0,test
391,1.0,test
392,0,test
393,1.0,test
394,2.0,test
395,0,test
396,4.0,test
397,0,test
398,2.0,test
399,0,train
400,1.0,train
401,2.0,train
402,2.0,train
403,4.0,train
404,1.0,train
405,1.0,train
406,1.0,train
407,3.0,train
408,2.0,train
409,1.0,train
410,0,train
411,1.0,train
412,1.0,train
413,1.0,train
414,0,train
415,1.0,train
416,1.0,train
417,0,train
418,2.0,train
419,2.0,train
420,1.0,train
421,1.0,train
422,1.0,train
423,1.0,train
424,6.0,train
425,1.0,train
426,2.0,train
427,3.0,train
428,0,train
429,1.0,train
430,1.0,train
431,1.0,train
432,1.0,train
433,1.0,train
434,0,train
435,2.0,train
436,1.0,train
437,0,train
438,1.0,train
439,1.0,train
440,3.0,train
441,1.0,train
442,2.0,train
443,2.0,train
444,2.0,train
445,1.0,train
446,2.0,train
447,0,train
448,2.0,train
449,0,train
450,1.0,train
451,1.0,train
452,2.0,train
453,2.0,train
454,1.0,train
455,3.0,train
456,0,train
457,0,train
458,3.0,train
459,3.0,train
460,1.0,train
461,0,train
462,4.0,train
463,1.0,train
464,1.0,train
465,0,train
466,0,train
467,2.0,train
468,1.0,train
469,1.0,train
470,0,train
471,1.0,train
472,0,train
473,2.0,train
474,1.0,train
475,2.0,train
476,0,train
477,1.0,train
478,2.0,train
479,1.0,train
480,2.0,train
481,2.0,train
482,1.0,train
483,0,train
484,2.0,train
485,1.0,train
486,1.0,train
487,1.0,train
488,0,train
489,0,train
490,0,train
491,2.0,train
492,1.0,train
493,3.0,train
494,2.0,train
495,2.0,train
496,1.0,train
497,1.0,train
498,3.0,train
499,3.0,train
500,1.0,train
501,0,train
502,0,train
503,2.0,train
504,2.0,train
505,2.0,train
506,0,train
507,2.0,train
508,2.0,train
509,1.0,train
510,2.0,train
511,0,train
512,3.0,train
513,1.0,train
514,1.0,train
515,1.0,train
516,2.0,train
517,1.0,train
518,1.0,train
519,3.0,train
520,1.0,train
521,0,train
522,1.0,train
523,2.0,train
524,1.0,train
525,2.0,train
526,2.0,train
527,1.0,train
528,4.0,train
529,0,train
530,1.0,train
531,4.0,train
532,2.0,train
533,3.0,train
534,6.0,train
535,2.0,train
536,2.0,train
537,1.0,train
538,2.0,train
539,0,train
540,3.0,train
541,1.0,train
542,0,train
543,2.0,train
544,1.0,train
545,0,train
546,0,train
547,0,train
548,0,train
549,1.0,train
550,0,train
551,2.0,train
552,1.0,train
553,1.0,train
554,1.0,train
555,4.0,train
556,1.0,train
557,2.0,train
558,2.0,train
559,2.0,train
560,1.0,train
561,1.0,train
562,1.0,train
563,1.0,train
564,3.0,train
565,2.0,train
566,2.0,train
567,1.0,train
568,2.0,train
569,4.0,train
570,0,train
571,1.0,train
572,0,train
573,1.0,train
574,0,train
575,2.0,train
576,0,train
577,1.0,train
578,0,train
579,0,train
580,0,train
581,1.0,train
582,2.0,train
583,0,train
584,1.0,train
585,1.0,train
586,3.0,train
587,3.0,train
588,0,train
589,0,train
590,3.0,train
591,2.0,train
592,1.0,train
593,0,train
594,1.0,train
595,6.0,train
596,1.0,train
597,0,train
598,0,train
599,2.0,test
600,2.0,test
601,1.0,test
602,2.0,test
603,1.0,test
604,1.0,test
605,1.0,test
606,2.0,test
607,0,test
608,1.0,test
609,0,test
610,2.0,test
611,1.0,test
612,2.0,test
613,4.0,test
614,3.0,test
615,3.0,test
616,1.0,test
617,1.0,test
618,3.0,test
619,2.0,test
620,3.0,test
621,1.0,test
622,2.0,test
623,3.0,test
624,3.0,test
625,3.0,test
626,1.0,test
627,2.0,test
628,3.0,test
629,0,test
630,2.0,test
631,1.0,test
632,3.0,test
633,3.0,test
634,0,test
635,2.0,test
636,1.0,test
637,3.0,test
638,0,test
639,2.0,test
640,1.0,test
641,1.0,test
642,3.0,test
643,1.0,test
644,2.0,test
645,1.0,test
646,1.0,test
647,1.0,test
648,1.0,test
649,0,test
650,1.0,test
651,2.0,test
652,1.0,test
653,1.0,test
654,2.0,test
655,1.0,test
656,1.0,test
657,2.0,test
658,1.0,test
659,1.0,test
660,0,test
661,1.0,test
662,1.0,test
663,0,test
664,2.0,test
665,1.0,test
666,1.0,test
667,4.0,test
668,1.0,test
669,6.0,test
670,1.0,test
671,1.0,test
672,1.0,test
673,3.0,test
674,0,test
675,1.0,test
676,2.0,test
677,3.0,test
678,0,test
679,4.0,test
680,0,test
681,2.0,test
682,2.0,test
683,3.0,test
684,1.0,test
685,0,test
686,1.0,test
687,2.0,test
688,1.0,test
689,0,test
690,2.0,test
691,0,test
692,2.0,test
693,1.0,test
694,1.0,test
695,2.0,test
696,1.0,test
697,1.0,test
698,2.0,test
699,1.0,test
700,1.0,test
701,6.0,test
702,2.0,test
703,1.0,test
704,2.0,test
705,1.0,test
706,3.0,test
707,1.0,test
708,4.0,test
709,1.0,test
710,3.0,test
711,2.0,test
712,1.0,test
713,1.0,test
714,1.0,test
715,2.0,test
716,1.0,test
717,3.0,test
718,0,test
719,1.0,test
720,3.0,test
721,3.0,test
722,1.0,test
723,1.0,test
724,1.0,test
725,2.0,test
726,2.0,test
727,1.0,test
728,2.0,test
729,0,test
730,0,test
731,0,test
732,1.0,test
733,1.0,test
734,0,test
735,2.0,test
736,0,test
737,2.0,test
738,0,test
739,1.0,test
740,2.0,test
741,1.0,test
742,2.0,test
743,0,test
744,4.0,test
745,6.0,test
746,1.0,test
747,2.0,test
748,1.0,test
749,0,test
750,1.0,test
751,2.0,test
752,3.0,test
753,1.0,test
754,1.0,test
755,2.0,test
756,3.0,test
757,5.0,test
758,1.0,test
759,3.0,test
760,1.0,test
761,1.0,test
762,2.0,test
763,1.0,test
764,2.0,test
765,2.0,test
766,2.0,test
767,3.0,test
768,3.0,test
769,0,test
770,1.0,test
771,0,test
772,1.0,test
773,1.0,test
774,2.0,test
775,1.0,test
776,1.0,test
777,3.0,test
778,1.0,test
779,3.0,test
780,0,test
781,3.0,test
782,0,test
783,4.0,test
784,4.0,test
785,1.0,test
786,1.0,test
787,1.0,test
788,1.0,test
789,1.0,test
790,3.0,test
791,4.0,test
792,2.0,test
793,2.0,test
794,1.0,test
795,1.0,test
796,2.0,test
797,2.0,test
798,1.0,test
799,1.0,train
800,4.0,train
801,1.0,train
802,1.0,train
803,1.0,train
804,2.0,train
805,1.0,train
806,1.0,train
807,1.0,train
808,1.0,train
809,1.0,train
810,1.0,train
811,0,train
812,3.0,train
813,1.0,train
814,2.0,train
815,0,train
816,0,train
817,2.0,train
818,2.0,train
819,1.0,train
820,0,train
821,1.0,train
822,3.0,train
823,2.0,train
824,1.0,train
